epoch,open,high,low,close
1783292340,63694.048,63727.262,63671.337,63720.189
1783292400,63716.882,63777.787,63688.404,63699.391
1783292460,63707.099,63786.635,63707.099,63772.601
1783292520,63772.601,63787.959,63744.546,63749.602
1783292580,63750.131,63772.833,63728.632,63752.643
1783292640,63756.884,63819.397,63752.763,63799.61
1783292700,63800.95,63837.945,63778.573,63823.294
1783292760,63822.968,63830.77,63805.491,63820.003
1783292820,63820.003,63820.007,63728.65,63770.999
1783292880,63771.287,63809.019,63767.873,63807.41
1783292940,63807.262,63818.652,63753.619,63782.772
1783293000,63782.492,63813.914,63782.492,63813.802
1783293060,63813.8,63857.234,63812.934,63832.166
1783293120,63832.855,63894.697,63829.322,63890.735
1783293180,63890.69,63931.661,63884.874,63900.695
1783293240,63902.869,63968.627,63890.15,63955.497
1783293300,63953.858,63979.709,63874.836,63935.651
1783293360,63935.8,63935.8,63906.558,63907.412
1783293420,63908.665,63908.665,63870.681,63894.813
1783293480,63894.988,63910.224,63883.989,63899.89
1783293540,63899.234,63935.759,63876.018,63904.992
1783293600,63905.079,63905.079,63820.05,63820.083
1783293660,63820.083,63892.326,63815.319,63881.168
1783293720,63881.96,63882.082,63798.138,63813.074
1783293780,63812.804,63812.804,63777.569,63780.92
1783293840,63780.987,63780.987,63672.602,63672.716
1783293900,63674.156,63694.458,63656.925,63665.211
1783293960,63669.74,63699.95,63668.694,63699.95
1783294020,63699.937,63711.597,63671.879,63709.757
1783294080,63709.751,63743.654,63709.613,63718.399
1783294140,63718.392,63718.392,63647.434,63649.52
1783294200,63649.748,63674.316,63628.29,63665.699
1783294260,63665.701,63691.603,63652.274,63665.0
1783294320,63665.0,63665.0,63622.044,63633.33
1783294380,63633.331,63670.281,63633.331,63644.761
1783294440,63644.765,63644.765,63618.951,63619.232
1783294500,63619.174,63619.174,63595.549,63610.217
1783294560,63610.764,63637.821,63605.384,63631.348
1783294620,63631.764,63665.703,63618.559,63645.394
1783294680,63642.098,63642.377,63620.951,63627.882
1783294740,63627.879,63649.165,63620.04,63627.395
1783294800,63627.824,63638.38,63623.769,63638.016
1783294860,63638.012,63678.555,63628.425,63678.555
1783294920,63678.548,63695.053,63661.29,63668.5
1783294980,63668.499,63693.384,63650.551,63693.046
1783295040,63692.976,63699.95,63668.629,63669.272
1783295100,63669.272,63669.272,63624.662,63645.464
1783295160,63639.706,63651.74,63622.077,63622.279
1783295220,63622.143,63639.884,63601.013,63601.013
1783295280,63600.721,63600.721,63556.632,63591.687
1783295340,63591.724,63599.95,63571.254,63599.95
1783295400,63599.95,63627.161,63584.994,63627.161
1783295460,63628.486,63639.823,63620.952,63629.325
1783295520,63619.315,63619.389,63549.148,63560.128
1783295580,63559.678,63563.542,63550.142,63554.686
1783295640,63554.711,63577.192,63553.411,63560.644
1783295700,63560.874,63560.874,63542.85,63552.116
1783295760,63550.833,63555.226,63546.961,63548.634
1783295820,63550.653,63568.243,63548.248,63568.243
1783295880,63573.497,63589.026,63565.943,63589.016
1783295940,63588.728,63633.228,63587.205,63623.114
1783296000,63617.405,63634.708,63573.242,63573.311
1783296060,63573.555,63573.555,63533.934,63566.382
1783296120,63558.91,63631.449,63541.707,63631.449
1783296180,63635.959,63646.167,63606.948,63608.295
1783296240,63608.289,63683.571,63607.588,63678.861
1783296300,63678.249,63683.025,63622.627,63624.848
1783296360,63624.85,63649.17,63604.683,63605.857
1783296420,63605.874,63606.566,63514.837,63524.56
1783296480,63528.539,63555.884,63504.689,63504.847
1783296540,63504.802,63550.094,63476.863,63546.196
1783296600,63549.262,63549.262,63456.393,63482.118
1783296660,63480.187,63530.345,63477.953,63517.105
1783296720,63517.103,63527.46,63504.828,63525.366
1783296780,63527.03,63539.262,63509.878,63538.205
1783296840,63541.352,63562.001,63513.239,63562.001
1783296900,63573.871,63666.251,63573.871,63666.251
1783296960,63656.906,63679.598,63600.179,63600.179
1783297020,63597.293,63602.417,63571.216,63597.722
1783297080,63594.483,63619.362,63581.143,63588.097
1783297140,63588.101,63588.775,63469.349,63478.393
1783297200,63478.047,63499.95,63469.975,63499.95
1783297260,63499.95,63537.967,63495.903,63537.967
1783297320,63530.955,63531.399,63467.775,63481.266
1783297380,63481.678,63504.636,63465.15,63504.636
1783297440,63505.187,63506.535,63436.387,63439.806
1783297500,63439.647,63482.2,63433.443,63433.443
1783297560,63426.404,63457.51,63413.663,63454.489
1783297620,63454.491,63468.113,63433.744,63460.536
1783297680,63460.713,63469.544,63407.522,63450.161
1783297740,63450.513,63450.513,63381.215,63386.413
1783297800,63382.815,63423.345,63314.036,63421.355
1783297860,63422.189,63464.049,63413.292,63455.391
1783297920,63453.54,63494.975,63436.534,63467.843
1783297980,63460.754,63460.754,63410.72,63412.124
1783298040,63411.424,63448.397,63383.677,63448.397
1783298100,63449.906,63460.974,63419.329,63459.019
1783298160,63458.801,63481.955,63430.852,63470.264
1783298220,63470.27,63499.95,63469.503,63497.765
1783298280,63498.085,63545.95,63498.085,63535.944
1783298340,63535.933,63572.167,63517.968,63519.41
1783298400,63527.036,63588.091,63508.824,63582.9
1783298460,63582.983,63607.696,63564.411,63607.696
1783298520,63612.55,63627.602,63564.295,63567.421
1783298580,63567.425,63588.879,63561.788,63579.558
1783298640,63579.742,63585.94,63555.355,63576.684
1783298700,63577.135,63676.189,63577.135,63660.498
1783298760,63654.337,63666.311,63642.647,63648.448
